day_of_week,hour_of_day,count(tx_hash)
1,0,646498
1,1,592389
1,2,564779
1,3,552339
1,4,536741
1,5,598046
1,6,623623
1,7,579570
1,8,645684
1,9,645076
1,10,682195
1,11,682173
1,12,734842
1,13,734024
1,14,724350
1,15,764270
1,16,807233
1,17,757212
1,18,666813
1,19,679241
1,20,731041
1,21,721781
1,22,629449
1,23,651264
2,0,649524
2,1,624162
2,2,695717
2,3,672697
2,4,626849
2,5,626518
2,6,652664
2,7,690666
2,8,757975
2,9,808983
2,10,740935
2,11,717672
2,12,753460
2,13,748347
2,14,802379
2,15,813835
2,16,804656
2,17,716446
2,18,675156
2,19,740251
2,20,672481
2,21,632021
2,22,584096
2,23,593702
3,0,679327
3,1,623925
3,2,583185
3,3,525422
3,4,555857
3,5,512449
3,6,575243
3,7,571932
3,8,618641
3,9,621809
3,10,590584
3,11,609056
3,12,623036
3,13,630942
3,14,714961
3,15,639298
3,16,621481
3,17,605645
3,18,603856
3,19,548739
3,20,562958
3,21,546654
3,22,558784
3,23,519703
4,0,574429
4,1,535166
4,2,537022
4,3,576396
4,4,529753
4,5,508286
4,6,607533
4,7,588637
4,8,630170
4,9,599715
4,10,575313
4,11,598631
4,12,642534
4,13,714767
4,14,772582
4,15,846409
4,16,758867
4,17,651991
4,18,640789
4,19,717432
4,20,727685
4,21,637516
4,22,683068
4,23,714278
5,0,740921
5,1,560814
5,2,570933
5,3,605781
5,4,557753
5,5,557879
5,6,609266
5,7,587311
5,8,618461
5,9,593954
5,10,651945
5,11,703403
5,12,703008
5,13,726262
5,14,742788
5,15,732372
5,16,675509
5,17,600088
5,18,650334
5,19,664436
5,20,621810
5,21,609275
5,22,554543
5,23,526550
6,0,594723
6,1,556864
6,2,522788
6,3,534829
6,4,556008
6,5,566559
6,6,562262
6,7,526028
6,8,588429
6,9,574351
6,10,616010
6,11,610107
6,12,643177
6,13,711945
6,14,654007
6,15,714776
6,16,725074
6,17,865849
6,18,620150
6,19,610756
6,20,691245
6,21,620680
6,22,599805
6,23,554051
7,0,733031
7,1,617694
7,2,614381
7,3,578915
7,4,555742
7,5,564505
7,6,604549
7,7,605321
7,8,643751
7,9,675211
7,10,681695
7,11,690740
7,12,657548
7,13,691963
7,14,742037
7,15,673766
7,16,634911
7,17,606758
7,18,592745
7,19,575937
7,20,562677
7,21,638201
7,22,496088
7,23,507622
